Reference, Value, Datasheet, MPN
"C1","1uF","https://eu.mouser.com/datasheet/2/40/KGM_X7R-3223212.pdf","06036C105MAT2A"
"C2","1uF","https://eu.mouser.com/datasheet/2/40/KGM_X7R-3223212.pdf","06036C105MAT2A"
"C3","1uF","https://eu.mouser.com/datasheet/2/40/KGM_X7R-3223212.pdf","06036C105MAT2A"
"C4","1uF","https://eu.mouser.com/datasheet/2/40/KGM_X7R-3223212.pdf","06036C105MAT2A"
"C5","100nF","https://eu.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","C0603C104M4RAC7411"
"C6","1uF","https://eu.mouser.com/datasheet/2/40/KGM_X7R-3223212.pdf","06036C105MAT2A"
"C7","0.33uF","https://eu.mouser.com/datasheet/2/447/KEM_C1005_Y5V_SMD-3316374.pdf","C0603C334Z4VAC7411"
"C8","10uF","https://eu.mouser.com/datasheet/2/447/KEM_C1006_X5R_SMD-3316465.pdf","C0603C106M9PAC7411"
"C9","100nF","https://eu.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","C0603C104M4RAC7411"
"D1","BAT54J","https://www.onsemi.com/PowerSolutions/product.do?id=BAT54HT1G","BAT54HT1G"
"D2","BAT760","https://assets.nexperia.com/documents/data-sheet/BAT760.pdf","BAT760,115"
"J1","DB9_Male"," ~"
"J2","Conn_01x04",""
"J3","Conn_01x03",""
"Q1","BC847","https://www.onsemi.com/PowerSolutions/product.do?id=BC847CWT1G","BC847CWT1G"
"Q2","BC856A-QR","https://assets.nexperia.com/documents/data-sheet/BC856-Q_BC857-Q_BC858-Q.pdf","BC856A-QR"
"R1","10k","https://eu.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_15-3461507.pdf","RT0603FRE1310KL"
"R2","56R","https://eu.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_15-3461507.pdf","RT0603FRE0756RL"
"R3","10k","https://eu.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_15-3461507.pdf","RT0603FRE1310KL"
"R4","10k","https://eu.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_15-3461507.pdf","RT0603FRE1310KL"
"R5","100k","https://eu.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_15-3461507.pdf","RT0402FRE07100KL"
"U1","ST232BDR","https://eu.mouser.com/datasheet/2/389/st232b-1850209.pdf","ST232BDR"
"U2","UA78M05","https://www.ti.com/lit/ds/symlink/ua78m.pdf?ts=1738532170293&ref_url=https%253A%252F%252Feu.mouser.com%252F","UA78M05IDCYR"
